시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Class
전북,완주군,278,17,422,119,296,2019,29,43,45,35,45,47,34,5,4,7,24,34,31,25,34,31,43,27,13,True
전남,담양군,292,4,488,89,385,2021,41,28,47,50,42,39,45,4,0,2,25,35,39,37,41,55,33,11,10,False
전남,고흥군,275,15,430,132,280,2021,44,45,33,39,37,50,27,4,4,3,12,43,40,50,42,35,21,13,8,True
대구,중구,720,3,1025,180,676,2022,80,88,100,104,86,120,142,48,28,26,23,50,62,69,104,87,87,79,57,False
전북,부안군,200,11,304,75,228,2021,23,25,31,37,24,30,30,3,0,6,6,30,27,26,22,30,26,18,6,False
경기,의왕시,300,10,471,79,371,2022,22,38,54,46,52,60,28,16,4,8,21,32,31,23,37,33,47,28,20,False
충남,태안군,322,14,502,194,267,2018,47,56,45,38,46,39,51,15,9,5,17,30,51,37,39,42,45,20,12,True
충북,옥천군,160,5,223,76,142,2020,11,24,22,23,28,27,25,2,1,1,16,19,18,22,25,25,17,8,6,True
경남,밀양시,532,23,728,260,432,2019,57,78,73,80,75,78,91,11,6,20,34,65,63,57,71,66,64,53,22,True
인천,계양구,802,14,1135,269,796,2018,103,136,100,116,101,112,134,54,24,41,60,75,86,55,73,91,107,69,67,False
경북,성주군,254,9,372,92,275,2020,26,45,49,46,25,31,32,5,1,7,10,32,36,37,27,42,29,16,12,True
경기,시흥시,2293,26,3497,631,2666,2020,279,347,326,329,344,349,319,100,49,76,176,224,189,194,246,301,324,249,165,False
경남,창녕군,263,2,380,146,213,2021,37,36,41,36,37,35,41,5,2,4,16,28,32,39,43,29,32,21,12,True
서울,중구,854,3,1156,250,826,2021,74,112,135,141,144,160,88,27,28,19,34,61,83,116,96,81,138,90,81,False
서울,은평구,918,9,1256,273,895,2022,110,118,130,134,145,155,126,36,20,22,39,86,87,100,122,111,120,101,74,False
강원,강릉시,653,17,965,216,738,2021,88,86,85,101,83,101,109,13,7,5,24,62,71,79,113,94,77,56,52,False
전북,진안군,77,7,137,57,76,2019,8,12,16,9,13,7,12,1,0,0,4,8,11,13,10,13,12,2,3,True
대전,동구,1430,14,2162,332,1782,2019,160,223,219,224,175,213,216,52,28,31,70,150,141,144,185,184,217,128,100,False
전남,영암군,323,14,527,80,440,2021,40,56,36,46,45,56,44,9,4,7,22,27,40,47,39,49,49,17,13,False
경기,여주시,558,15,940,172,719,2022,75,81,91,67,66,88,90,11,8,11,30,57,77,74,81,80,62,50,17,False
경기,가평군,396,8,678,150,494,2019,79,41,44,43,47,56,86,10,2,6,14,35,50,65,69,53,48,34,10,False
서울,은평구,953,14,1415,275,1007,2020,128,139,128,132,150,133,143,62,20,36,44,70,83,119,105,99,126,99,90,False
전남,담양군,321,12,594,112,467,2019,40,46,36,57,51,52,39,4,3,9,19,44,51,43,56,45,28,9,10,False
경남,사천시,624,11,969,276,611,2020,64,91,88,87,92,96,106,11,5,23,47,52,73,76,67,89,92,49,40,True
울산,중구,624,8,849,224,565,2021,63,85,103,98,82,106,87,17,9,14,28,60,62,62,78,77,101,72,44,True
서울,금천구,827,16,1167,205,876,2021,93,101,123,122,133,142,113,30,14,25,39,63,85,95,87,81,140,97,71,False
인천,미추홀구,1141,9,1554,273,1150,2020,110,183,168,182,156,173,169,64,41,44,50,88,112,99,124,136,159,119,105,False
충남,천안시,2937,47,4157,627,3321,2022,303,413,440,421,437,478,445,122,63,69,168,283,287,296,328,357,400,337,227,False
경기,안산시,3878,42,5909,1152,4427,2018,424,571,534,581,577,625,566,188,87,132,269,363,300,327,380,462,594,448,328,False
전북,무주군,92,8,143,46,97,2022,13,15,10,10,10,18,16,4,1,1,6,13,10,15,10,13,13,5,1,True
경남,하동군,127,9,188,77,105,2022,17,22,19,11,16,30,12,3,0,2,7,14,22,14,18,22,12,8,5,True
전북,전주시,1918,26,2720,457,2234,2022,201,260,285,300,277,328,267,85,31,48,89,192,181,199,248,259,249,185,152,False
강원,홍천군,331,13,537,145,368,2018,35,43,42,44,51,51,65,9,5,0,16,44,42,45,50,53,31,21,15,True
부산,강서구,783,15,1188,279,856,2021,68,111,120,103,140,147,94,14,10,20,85,96,71,90,93,110,98,58,38,False
전북,익산시,1094,27,1598,286,1296,2020,92,172,173,194,156,161,146,36,29,29,67,104,115,114,121,155,156,103,65,False
대구,중구,621,6,906,144,608,2021,71,101,72,83,92,97,105,37,21,22,20,40,54,69,90,88,87,50,43,False
강원,속초시,446,1,699,193,495,2020,69,62,52,50,62,74,77,25,4,5,18,45,51,50,56,49,64,43,36,True
경기,연천군,189,6,313,75,206,2018,23,38,28,26,21,30,23,7,1,1,10,32,26,12,26,22,23,14,15,False
전북,남원시,291,12,375,137,233,2021,37,55,41,44,34,33,47,6,1,7,18,36,45,36,33,43,46,17,3,True
서울,중랑구,1447,4,1952,381,1345,2020,153,225,237,186,210,230,206,63,41,45,71,121,133,140,161,173,214,169,116,False
경남,거창군,274,9,359,123,228,2021,23,37,46,37,41,54,36,3,6,1,8,33,37,43,38,41,38,14,12,True
강원,동해시,356,5,523,97,420,2018,38,55,53,48,61,44,57,5,4,6,18,44,41,42,41,60,41,34,20,False
경기,남양주시,1970,24,2927,558,2228,2022,224,287,275,292,291,296,305,64,31,40,90,235,174,228,259,256,297,175,121,False
전북,순창군,103,12,145,33,83,2022,8,16,11,13,13,15,27,0,0,2,6,12,18,13,21,9,12,6,4,False
부산,진구,1625,18,2179,658,1324,2018,219,231,218,244,230,231,252,103,81,92,75,130,111,146,182,203,201,172,129,True
부산,영도구,341,4,462,123,312,2021,37,56,44,51,51,55,47,10,3,7,11,32,40,41,48,55,40,39,15,True
경북,안동시,929,22,1470,330,1071,2020,87,124,146,139,145,168,120,32,19,10,43,99,113,132,127,103,124,73,54,False
강원,영월군,154,7,227,78,79,2020,17,19,16,21,25,33,23,1,0,3,4,16,18,30,20,26,15,15,6,True
울산,북구,786,8,1149,251,789,2021,89,114,94,115,122,146,106,46,16,26,50,63,58,95,101,103,103,75,50,False
강원,삼척시,257,6,384,79,303,2021,31,44,34,34,31,46,37,1,2,8,15,32,23,42,34,48,35,12,5,False
경남,거창군,253,18,317,127,184,2020,20,44,38,34,45,36,36,7,6,4,8,33,31,34,27,44,30,22,7,True
충남,계룡시,56,2,77,13,61,2021,5,9,10,13,10,8,1,1,1,0,5,5,4,9,6,8,11,3,3,False
충남,서산시,667,22,955,334,574,2021,82,105,89,89,98,104,100,25,11,15,37,66,68,78,89,91,82,63,42,True
충북,옥천군,120,5,160,57,102,2022,7,22,18,17,19,18,19,0,2,3,5,15,12,17,20,18,17,6,5,True
전북,임실군,119,8,162,62,96,2021,11,22,18,20,21,10,17,0,0,3,8,26,19,11,25,13,10,2,2,True
경북,상주시,445,23,654,178,446,2022,56,65,69,69,56,64,66,8,3,4,18,44,58,59,71,79,49,34,18,True
경남,남해군,194,5,275,106,129,2021,30,30,23,14,35,27,35,1,1,1,10,23,30,25,37,24,21,11,10,True
부산,중구,357,3,479,100,351,2022,47,46,51,49,49,56,59,20,6,2,17,30,45,38,47,40,46,32,34,False
충남,아산시,1083,36,1521,401,1059,2019,133,148,151,179,168,152,152,51,21,24,75,122,77,93,119,139,156,115,91,True
대구,남구,892,7,1349,199,1013,2020,101,129,132,149,139,118,124,39,24,27,40,96,82,103,103,117,131,64,66,False
전북,완주군,235,15,352,94,250,2020,23,40,28,31,40,48,25,6,6,9,16,29,23,29,22,36,28,20,11,True
대전,유성구,1645,13,2472,336,2031,2022,179,221,210,266,262,262,245,66,18,32,93,173,169,194,191,225,222,140,122,False
서울,동대문구,1534,12,1843,367,1308,2022,179,226,214,231,245,227,212,61,28,26,79,169,184,170,176,215,189,144,93,False
경남,거창군,228,10,305,120,169,2022,33,31,32,38,30,29,35,3,2,2,18,20,31,33,29,36,29,12,13,True
강원,삼척시,209,8,289,80,209,2022,21,26,35,41,27,30,29,2,1,7,7,17,26,30,38,34,31,13,3,True
인천,옹진군,35,2,64,11,48,2020,7,6,2,3,2,6,9,0,1,1,4,3,5,4,4,3,5,3,2,False
충남,서산시,797,30,1249,487,690,2018,85,127,118,103,114,144,106,29,21,20,52,72,59,75,93,102,115,104,55,True
충북,보은군,149,6,224,96,121,2018,12,26,19,22,23,24,23,3,1,2,7,14,24,21,20,25,18,8,6,True
경북,안동시,774,19,1212,235,949,2021,87,110,105,122,115,117,118,27,9,8,41,76,82,98,113,112,124,50,34,False
경남,하동군,149,10,191,91,94,2018,16,23,20,20,26,26,18,1,0,4,9,18,23,21,18,21,18,9,7,True
강원,고성군,138,1,220,51,162,2019,14,24,28,16,16,23,17,1,1,1,9,23,25,17,9,18,18,8,8,False
강원,영월군,136,2,227,91,113,2021,16,23,16,23,23,13,22,3,1,1,9,19,20,19,23,13,21,3,4,True
